"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"west midlands";"MMR";1;2015;0.7279;0.9453454131;0.96134867985;0.96350515059275;0.9664817436
"west midlands";"MMR";1;2016;0.734410843075;0.9412380524;0.95753821610692;0.9734099849135;0.9663267266
"west midlands";"MMR";1;2017;0.7268707426;0.9417622482;0.95239511292272;0.96448909401824;0.9770127124
"west midlands";"MMR";1;2018;0.724889588575;0.9216553136;0.95135640161472;0.95900355919252;0.9666540517
"west midlands";"MMR";1;2019;0.7234481554;0.9163722362;0.93820871062352;0.95703912128952;0.9630121752
"west midlands";"MMR";2;2005;0;0;0.351116259359681;0.691871170591728;0.780434058878549
"west midlands";"MMR";2;2006;0;0;0.355844273325359;0.702232518719362;0.775727290718385
"west midlands";"MMR";2;2007;0;0;0.367685166180209;0.711688546650718;0.78734445422061
"west midlands";"MMR";2;2008;0;0;0.387187905164805;0.735370332360418;0.797946570972887
"west midlands";"MMR";2;2009;0;0;0.38964782391804;0.77437581032961;0.824498634780153
"west midlands";"MMR";2;2010;0;0;0.41282771647542;0.77929564783608;0.8682316519
"west midlands";"MMR";2;2011;0;0;0.416818789591205;0.82565543295084;0.8737477832
"west midlands";"MMR";2;2012;0;0;0.430104913804265;0.83363757918241;0.8754696564
"west midlands";"MMR";2;2013;0;0;0.43241253890175;0.86020982760853;0.8787156943
"west midlands";"MMR";2;2014;0;0;0.423176012607495;0.8648250778035;0.9010263199
"west midlands";"MMR";2;2015;0;0;0.43279416693552;0.84635202521499;0.9055759977
"west midlands";"MMR";2;2016;0;0;0.41961458975358;0.86558833387104;0.8908030999
"west midlands";"MMR";2;2017;0;0;0.41167018655816;0.83922917950716;0.8990323368
"west midlands";"MMR";2;2018;0;0;0.408560274242195;0.82334037311632;0.8761135604
"west midlands";"MMR";2;2019;0;0;0.406427849839415;0.81712054848439;0.8674959152
"yorkshire and the humber";"MMR";1;2005;0.706;0.842;0.890614960838495;0.896261650854024;0.915718071552339
"yorkshire and the humber";"MMR";1;2006;0.71125;0.866;0.883692042487137;0.900492492973468;0.903731290720197
"yorkshire and the humber";"MMR";1;2007;0.684475;0.88;0.906367365613752;0.894087470899102;0.909240165890172
"yorkshire and the humber";"MMR";1;2008;0.6991;0.86;0.92161377785968;0.916432501174017;0.903293799598849
"yorkshire and the humber";"MMR";1;2009;0.708475;0.876;0.9184505984777;0.93198969189232;0.92534631816194
"yorkshire and the humber";"MMR";1;2010;0.715;0.9023926079;0.92429649090456;0.9330245789273;0.9411787384
"yorkshire and the humber";"MMR";1;2011;0.71005;0.9174695952;0.94598376515554;0.94577524567612;0.9459314885
"yorkshire and the humber";"MMR";1;2012;0.7192;0.9414036062;0.94232643127022;0.9564865925488;0.9578862172
"yorkshire and the humber";"MMR";1;2013;0.721675;0.9518284643;0.95521199670356;0.9636010504958;0.9655865152
"yorkshire and the humber";"MMR";1;2014;0.7192;0.9566027134;0.96482094195802;0.96584334480836;0.9695367005
"yorkshire and the humber";"MMR";1;2015;0.71845;0.9527337782;0.96776392652623;0.97501132213934;0.9723086879
"yorkshire and the humber";"MMR";1;2016;0.7374724199875;0.9499725306;0.96028695767432;0.97456047497901;0.9775357806
"yorkshire and the humber";"MMR";1;2017;0.7348959578875;0.9499264533;0.96033904443864;0.96629371630872;0.9764872905
"yorkshire and the humber";"MMR";1;2018;0.733105682575;0.9430558877;0.9604538782128;0.96623308553466;0.9687092001
"yorkshire and the humber";"MMR";1;2019;0.73234531165;0.9382818202;0.95726634755888;0.9664394077782;0.9681977659
"yorkshire and the humber";"MMR";2;2005;0;0;0.346245649250578;0.683870699066737;0.759589576325893
"yorkshire and the humber";"MMR";2;2006;0;0;0.346961593267638;0.692491298501157;0.758760345131185
"yorkshire and the humber";"MMR";2;2007;0;0;0.369432340128503;0.693923186535275;0.76832497337308
"yorkshire and the humber";"MMR";2;2008;0;0;0.383682766787255;0.738864680257006;0.769913665300427
"yorkshire and the humber";"MMR";2;2009;0;0;0.39194021668623;0.76736553357451;0.819776634036398
"yorkshire and the humber";"MMR";2;2010;0;0;0.39173586830965;0.78388043337246;0.8513985727
"yorkshire and the humber";"MMR";2;2011;0;0;0.40147804282222;0.7834717366193;0.8697219942
"yorkshire and the humber";"MMR";2;2012;0;0;0.416800783454685;0.80295608564444;0.8909162345
"yorkshire and the humber";"MMR";2;2013;0;0;0.412053380862375;0.83360156690937;0.9071925044
"yorkshire and the humber";"MMR";2;2014;0;0;0.40611220790032;0.82410676172475;0.9167508709
"yorkshire and the humber";"MMR";2;2015;0;0;0.4198285864485;0.81222441580064;0.9233689207
"yorkshire and the humber";"MMR";2;2016;0;0;0.41665221039707;0.839657172897;0.9175603432
"yorkshire and the humber";"MMR";2;2017;0;0;0.41159785891182;0.83330442079414;0.9051931575
"yorkshire and the humber";"MMR";2;2018;0;0;0.41100092699106;0.82319571782364;0.9046839874
"yorkshire and the humber";"MMR";2;2019;0;0;0.41217784069602;0.82200185398212;0.8990778919
